RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Good,71,308.0,7,104,39,0,0,98,73.0,7,6,40,3,30,0,0,0,75,99.0,11,1,5.0,81,0.15600624024961,True,False,98.0,32
Good,75,381.0,15,108,20,0,0,95,14.0,7,6,20,0,45,1,2,2,32,64.0,6,4,3.0,77,0.15600624024961,True,False,100.0,15
Bad,58,216.0,12,86,23,0,0,88,3.0,6,6,53,0,29,1,1,1,84,,7,1,5.0,75,0.5319148936170213,True,True,43.0,39
Bad,73,191.0,17,53,19,0,0,100,122.0,7,7,20,0,25,36,0,0,31,78.0,4,3,1.0,54,0.15600624024961,False,False,95.0,10
Good,89,280.0,23,107,16,0,0,100,122.0,7,7,16,0,50,0,0,0,7,38.0,1,2,0.0,60,0.15600624024961,False,False,100.0,9
Good,79,94.0,5,52,25,0,0,100,122.0,7,7,25,2,16,5,2,2,10,78.0,5,2,0.0,50,0.15600624024961,False,False,100.0,12
Bad,69,129.0,13,63,24,1,0,80,20.0,7,5,25,0,24,36,0,0,51,71.0,4,3,2.0,53,0.15600624024961,True,False,96.0,13
Bad,67,166.0,17,65,14,0,0,100,122.0,7,7,14,0,36,36,1,1,66,58.0,7,4,3.0,92,0.15600624024961,False,False,100.0,12
Bad,86,238.0,17,112,22,0,0,95,52.0,7,6,23,0,35,24,0,0,0,41.0,0,3,0.0,33,0.15600624024961,True,False,96.0,7
Bad,80,347.0,8,76,24,0,0,100,122.0,7,7,26,2,54,10,0,0,13,54.0,2,3,1.0,71,0.15600624024961,False,False,92.0,18
Good,62,89.0,22,61,24,0,0,92,31.0,7,6,25,0,36,11,0,0,70,,4,1,2.0,63,0.15600624024961,True,False,96.0,15
Bad,56,64.0,18,48,2,1,1,75,8.0,2,6,5,0,100,0,0,0,27,,3,1,0.5,100,0.5319148936170213,True,True,40.0,5
Good,69,469.0,4,106,33,1,1,78,8.0,6,3,36,2,25,0,0,0,2,,5,1,0.0,38,0.5319148936170213,True,True,92.0,13
Bad,66,387.0,57,174,13,1,1,80,26.0,7,4,15,0,40,1,1,1,38,45.0,4,2,3.0,86,0.15600624024961,True,False,87.0,12
Good,56,172.0,4,64,16,2,0,68,5.0,6,5,19,3,37,0,0,0,46,86.0,4,2,1.0,55,0.5319148936170213,True,True,84.0,10
Bad,70,159.0,3,62,29,0,0,86,1.0,6,6,29,6,48,36,1,1,9,69.0,2,6,2.0,57,0.5319148936170213,True,True,100.0,16
Bad,72,85.0,6,52,10,0,0,100,122.0,7,7,11,1,18,0,4,4,49,,2,1,1.0,50,0.15600624024961,False,False,91.0,5
Good,66,174.0,1,75,38,0,0,100,122.0,7,7,40,5,40,36,6,6,77,60.0,4,8,3.0,75,0.15600624024961,False,False,95.0,30
Bad,62,104.0,2,49,21,0,0,100,122.0,7,7,24,2,26,1,3,3,67,13.0,7,2,3.0,60,0.15600624024961,False,False,88.0,14
Good,91,344.0,26,145,16,0,0,100,122.0,7,7,16,0,38,7,0,0,2,,3,2,0.0,38,0.15600624024961,False,False,100.0,6
Bad,66,138.0,6,75,42,0,0,100,122.0,7,7,46,2,46,0,1,1,89,92.0,6,2,2.0,100,0.15600624024961,False,False,91.0,46
Bad,56,23.0,7,15,6,0,0,100,122.0,7,7,6,2,33,0,11,11,95,,3,1,1.0,100,0.15600624024961,False,False,100.0,6
Good,80,117.0,2,53,22,0,0,96,59.0,7,6,23,3,17,36,1,1,2,,2,1,1.0,25,0.15600624024961,True,False,96.0,5
Bad,64,199.0,23,69,18,1,1,89,18.0,7,6,20,0,20,0,2,2,51,0.0,7,3,2.0,67,0.15600624024961,True,False,90.0,13
Good,77,85.0,7,42,13,0,0,92,59.0,7,6,13,4,15,1,3,3,8,98.0,4,2,0.0,67,0.15600624024961,True,False,100.0,8
Bad,59,221.0,4,78,12,4,1,61,27.0,7,3,19,3,26,0,2,2,88,87.0,10,2,5.0,100,0.15600624024961,True,False,63.0,19
Good,81,148.0,1,72,16,0,0,94,62.0,7,6,18,2,39,0,2,2,0,94.0,0,3,0.5,75,0.15600624024961,True,False,89.0,13
